,Oil_store,가격,상표,셀프,주소,구,lat,lng
325,서남주유소,2132.0,SK에너지,N,서울 중구 통일로 30 (봉래동1가),중구,37.5583477,126.9720901
324,장충주유소,2130.0,SK에너지,N,서울 중구 장충단로 202 (장충동1가),중구,37.5627192,127.0070101
124,양재주유소,2128.0,SK에너지,N,서울 서초구 바우뫼로 178 (양재동),서초구,37.4780706,127.03961
532,뉴서울(강남),2120.0,SK에너지,N,서울 강남구 언주로 716 (논현동),강남구,37.51763589999999,127.0357559
531,오천주유소,2107.0,SK에너지,N,서울 강남구 봉은사로 503 (삼성동),강남구,37.5134585,127.053786
313,재동주유소,2106.0,SK에너지,N,서울특별시 종로구  율곡로 58 (경운동),종로구,37.5763883,126.9858508
285,청파주유소,2106.0,SK에너지,N,서울특별시 용산구  청파로 311 (청파동1가),용산구,37.54745130000001,126.969904
284,갈월동주유소,2106.0,SK에너지,N,서울특별시 용산구  한강대로 322 (갈월동),용산구,37.5469552,126.9722183
283,강변주유소,2106.0,SK에너지,N,서울특별시 용산구  원효로 9 (청암동),용산구,37.5349103,126.9458687
323,통일주유소,2106.0,SK에너지,N,서울 중구 동호로 296 (장충동2가),중구,37.5607136,127.0031771
