,Oil_store,가격,상표,셀프,주소,구,lat,lng
83,만남의광장주유소,1490.0,알뜰(ex),N,서울 서초구 양재대로12길 73-71 (원지동),서초구,37.4599063,127.0420601
344,강서오곡셀프주유소,1497.0,SK에너지,Y,서울특별시 강서구 벌말로 254 (오곡동),강서구,37.5552839,126.7685674
451,태릉솔밭주유소,1497.0,S-OIL,Y,서울특별시 노원구 노원로 49 (공릉동),노원구,37.6259181,127.0855335
258,수유동주유소,1498.0,GS칼텍스,Y,서울특별시 강북구  도봉로 395 (수유동),강북구,37.6421401,127.0295678
227,(주)강서오일,1499.0,현대오일뱅크,N,서울 영등포구 도신로 151 (도림동),영등포구,37.5099691,126.9082307
225,도림주유소,1499.0,알뜰주유소,Y,서울 영등포구 도림로 343 (도림동),영등포구,37.5076563,126.900191
226,(주)대청에너지 대청주유소,1499.0,GS칼텍스,N,서울 영등포구 가마산로 328 (대림동),영등포구,37.4985562,126.8957906
415,풀페이주유소,1499.0,SK에너지,N,서울특별시 구로구 경인로 41 (온수동),구로구,37.4910087,126.8266753
326,신일셀프주유소,1499.0,SK에너지,Y,서울 중랑구 상봉로 58 (망우동),중랑구,37.5909065,127.093834
40,서경주유소,1499.0,현대오일뱅크,N,서울 동작구 대림로 46 (신대방동),동작구,37.4879468,126.9082404
